run_time_s,timestamp,config,num_users,target_rpm,actual_rpm,failures,avg_response_time_ms,rt_90,rt_95,rt_99,total_cpu,total_mem
60,2026-01-01 22:23:34,1,,759.0,735.0,0.0,2760.21,4311.9,4995.82,6605.53,0.15653511220859442,2938417152.0
120,2026-01-01 22:24:34,1,,722.0,722.0,0.0,2219.22,2272.0,2391.28,2674.98,0.9651594899180294,3277197312.0
180,2026-01-01 22:25:34,1,,535.0,537.0,0.0,2211.53,2226.55,2276.75,2650.81,0.6880849471519487,2365460480.0
240,2026-01-01 22:26:34,1,,460.0,460.0,0.0,2203.55,2209.68,2231.25,2279.58,0.6255924237939114,2362740736.0
300,2026-01-01 22:27:34,1,,438.0,438.0,0.0,2200.4,2204.01,2209.07,2267.15,0.4908826670688301,2352881664.0
360,2026-01-01 22:28:34,1,,507.0,507.0,0.0,2198.34,2203.56,2206.55,2259.58,0.47004989774485795,2355916800.0
420,2026-01-01 22:29:34,1,,505.0,505.0,0.0,2250.89,2419.82,2573.15,2819.45,0.4138526850987437,2319179776.0
480,2026-01-01 22:30:34,1,,525.0,525.0,0.0,2198.9,2202.32,2204.42,2209.65,0.5266789105202337,2285568000.0
540,2026-01-01 22:31:34,1,,382.0,383.0,0.0,2208.11,2216.76,2220.75,2266.04,0.4575657475108103,2285981696.0
600,2026-01-01 22:32:34,1,,365.0,365.0,0.0,2198.64,2204.18,2207.67,2225.63,0.4462060183309952,2285989888.0
660,2026-01-01 22:33:34,1,,410.0,410.0,0.0,2201.62,2204.76,2218.17,2268.96,0.3623100372026976,2286325760.0
720,2026-01-01 22:34:34,1,,388.0,388.0,0.0,2198.49,2202.17,2206.05,2244.33,0.4012640359271289,2290147328.0
780,2026-01-01 22:35:34,1,,397.0,397.0,0.0,2196.73,2201.84,2203.21,2207.16,0.33813332450758365,2290561024.0
840,2026-01-01 22:36:34,1,,475.0,474.0,0.0,2203.43,2208.99,2213.06,2274.69,0.397343665385046,2290925568.0
900,2026-01-01 22:37:34,1,,452.0,452.0,0.0,2197.18,2200.47,2202.41,2209.82,0.47786952315657116,2290978816.0
960,2026-01-01 22:38:34,1,,447.0,447.0,0.0,2197.67,2200.68,2202.58,2241.15,0.39098077482889315,2291208192.0
1020,2026-01-01 22:39:34,1,,475.0,475.0,0.0,2199.55,2205.01,2207.35,2216.61,0.44275731683425856,2291859456.0
1080,2026-01-01 22:40:34,1,,504.0,504.0,0.0,2197.74,2204.14,2205.92,2216.37,0.4286286191938158,2291769344.0
